Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-03-27T10:38:16-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260327P06310000,Equity Option,Bought 1 SPX 03/27/26 Put 6310.00 @ 1.22,-122.00,1,-122.00,-1.00,-0.72,100,SPXW,SPX,3/27/26,6310,PUT,450021795,-123.72,USD
2026-03-27T10:38:16-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260327P06350000,Equity Option,Sold 1 SPX 03/27/26 Put 6350.00 @ 3.27,327.00,1,327.00,-1.00,-0.72,100,SPXW,SPX,3/27/26,6350,PUT,450021795,325.28,USD
2026-03-27T10:38:16-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260327P06310000,Equity Option,Bought 1 SPX 03/27/26 Put 6310.00 @ 1.22,-122.00,1,-122.00,-1.00,-0.72,100,SPXW,SPX,3/27/26,6310,PUT,450021795,-123.72,USD
2026-03-26T17:00:00-0300,Receive Deliver,Expiration,BUY_TO_CLOSE,SPXW  260326C06610000,Equity Option,Removal of 2.0 SPX 03/26/26 Call 6610.00 due to expiration.,0.00,2,0.00,--,0.00,100,SPXW,SPX,3/26/26,6610,CALL,,0.00,USD
2026-03-26T17:00:00-0300,Receive Deliver,Expiration,SELL_TO_CLOSE,SPXW  260326C06650000,Equity Option,Removal of 2.0 SPX 03/26/26 Call 6650.00 due to expiration.,0.00,2,0.00,--,0.00,100,SPXW,SPX,3/26/26,6650,CALL,,0.00,USD
2026-03-26T14:57:09-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260326P06500000,Equity Option,Bought 2 SPX 03/26/26 Put 6500.00 @ 13.97,"-2,794.00",2,"-1,397.00",0.00,-1.45,100,SPXW,SPX,3/26/26,6500,PUT,449866705,"-2,795.45",USD
2026-03-26T14:57:09-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260326P06455000,Equity Option,Sold 2 SPX 03/26/26 Put 6455.00 @ 1.92,384.00,2,192.00,0.00,-1.46,100,SPXW,SPX,3/26/26,6455,PUT,449866705,382.54,USD
2026-03-26T12:41:54-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260326P06500000,Equity Option,Sold 1 SPX 03/26/26 Put 6500.00 @ 3.25,325.00,1,325.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6500,PUT,449782500,323.28,USD
2026-03-26T12:41:54-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260326P06455000,Equity Option,Bought 1 SPX 03/26/26 Put 6455.00 @ 0.60,-60.00,1,-60.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6455,PUT,449782500,-61.72,USD
2026-03-26T12:41:54-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260326P06500000,Equity Option,Sold 1 SPX 03/26/26 Put 6500.00 @ 3.25,325.00,1,325.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6500,PUT,449782500,323.28,USD
2026-03-26T12:41:54-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260326P06455000,Equity Option,Bought 1 SPX 03/26/26 Put 6455.00 @ 0.60,-60.00,1,-60.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6455,PUT,449782500,-61.72,USD
2026-03-26T10:37:17-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260326C06610000,Equity Option,Sold 1 SPX 03/26/26 Call 6610.00 @ 2.60,260.00,1,260.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6610,CALL,449668980,258.28,USD
2026-03-26T10:37:17-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260326C06650000,Equity Option,Bought 1 SPX 03/26/26 Call 6650.00 @ 0.75,-75.00,1,-75.00,-1.00,-0.72,100,SPXW,SPX,3/26/26,6650,CALL,449668980,-76.72,USD
